20060326	09281385	19.4085	-103.7842	67.24	31 	16.0	29.0	 4.29  	112
20060326	09392136	19.0352	-103.7872	9.0	 5 	32.0	84.0	 3.65  	113
20060326	10131811	19.1055	-103.7292	27.0	 7 	32.0	99.0	 8.16  	114
20060326	14245978	19.4973	-103.8015	42.0	16 	16.0	28.0	 4.77  	115
20060326	17260048	19.989	-104.2817	2.0	10 	32.0	99.0	 7.12  	116
20060326	22143527	19.5115	-104.3665	59.0	24 	32.0	99.0	18.89  	117
20060327	01164591	19.4918	-103.7555	5.58	18 	4.0	5.0	 1.38  	118
20060327	03215230	20.0012	-103.9247	3.0	 7 	32.0	99.0	 9.72  	119
20060327	07110193	20.1607	-104.0542	22.0	16 	22.0	71.0	 7.27  	120
20060327	11101995	19.5623	-103.601	53.0	17 	32.0	54.0	 8.81  	121
20060327	16342684	19.4005	-103.6985	38.0	 8 	20.0	67.0	 3.05  	122
20060328	02154005	19.6738	-103.5573	30.0	 6 	32.0	99.0	 8.20  	123
20060328	07132792	19.2305	-103.4568	35.19	 6 	5.0	13.0	 0.10  	124
20060329	02355077	19.437	-103.7192	49.27	20 	16.0	26.0	 4.20  	126
20060329	04145309	19.497	-103.8372	6.25	14 	22.0	32.0	 6.86  	127
20060329	10185301	19.3505	-103.8518	49.0	 9 	14.0	88.0	 2.57  	128
20060329	14382984	19.4565	-103.5208	3.53	21 	26.0	11.0	 6.53  	129
20060330	11520081	19.4433	-103.8082	5.57	11 	1.0	6.0	 0.48  	130
20060331	09341206	19.623	-103.7485	27.0	24 	23.0	26.0	 7.47  	131
20060331	11012155	19.7557	-103.6725	4.87	23 	15.0	28.0	 8.46  	132
20060402	02053202	19.6887	-104.0847	26.0	 7 	32.0	99.0	 8.15  	133
20060402	18482121	19.8987	-103.5482	3.51	20 	29.0	53.0	10.30  	135
20060403	00233935	19.36	-103.498	17.07	10 	17.0	15.0	 3.42  	136
20060403	17042073	19.3077	-103.4268	2.0	 7 	32.0	69.0	 9.87  	137
20060403	23094179	19.1505	-103.4907	1.0	 8 	32.0	99.0	27.58  	138
20060404	02310911	9.0052	-3.12	1.0	14 	0.0	0.0	42.62  	139
20060404	10220160	19.5705	-103.6417	12.12	10 	10.0	4.0	 1.30  	140
20060405	01254210	19.5897	-103.6305	5.65	 4 	24.0	20.0	 0.34  	141
20060405	04315863	19.4015	-103.9633	44.0	11 	32.0	99.0	 8.18  	142
20060406	05162438	19.0628	-103.8687	2.0	 7 	32.0	99.0	 5.30  	143
20060406	06144496	18.3167	-103.4783	12.96	 8 	1.0	7.0	 0.15  	144
20060407	01192753	19.4223	-103.7377	28.0	 9 	11.0	15.0	 1.75  	145
20060407	07281753	19.3293	-103.7633	20.08	24 	5.0	8.0	 2.42  	146
20060407	14240499	19.4832	-103.7652	7.13	24 	3.0	2.0	 0.79  	147
20060407	14535217	19.396	-103.8722	5.95	 9 	3.0	7.0	 1.08  	148
20060408	05414592	19.4307	-103.363	46.0	28 	32.0	99.0	27.44  	149
20060409	16071237	19.528	-103.7763	63.22	34 	31.0	43.0	 9.23  	151
20060410	11102356	19.2983	-104.046	3.84	14 	29.0	34.0	 8.00  	152
20060412	15101663	19.4493	-103.5683	5.08	19 	9.0	5.0	 2.89  	153
20060412	17204343	19.3585	-103.3545	15.0	 8 	32.0	99.0	23.81  	154
20060414	04030331	19.5615	-103.561	8.01	10 	12.0	11.0	 1.32  	155
20060414	08042751	19.4545	-103.9082	49.0	 6 	32.0	99.0	12.00  	156
20060414	20590119	19.5988	-103.5875	10.86	21 	17.0	7.0	 2.75  	158
20060417	03112905	22.088	-103.8728	1.0	 4 	32.0	99.0	10.07  	159
20060417	14422396	19.766	-103.661	34.62	 9 	22.0	37.0	 3.46  	160
20060418	11293454	19.5418	-103.6203	21.0	 5 	32.0	99.0	18.51  	161
20060419	04562619	19.5187	-103.7452	5.57	13 	5.0	3.0	 0.95  	162
20060420	03275849	19.0622	-103.6123	34.0	10 	15.0	98.0	 3.05  	163
20060420	04065649	19.5513	-103.554	91.0	17 	32.0	99.0	10.55  	164
20060421	12571232	19.4987	-103.6173	58.34	28 	14.0	20.0	 3.72  	165
20060421	16342255	18.008	-103.5233	1.0	 7 	32.0	99.0	21.82  	166
